localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
1/1/2016 0:00,0.527133333,0,0.525866667,1,1,0,0,0,0,0,0,0,7,100.56,2.021
1/1/2016 1:00,0.46315,0,0.462366667,1,1,1,0,0,0,0,0,0,6,112.9,2.049
1/1/2016 2:00,0.497,0,0.4959,1,1,2,0,0,0,0,0,0,6,125.59,2.037
1/1/2016 3:00,0.498316667,0,0.497083333,1,1,3,0,0,0,0,0,0,6,138.48,2.021
1/1/2016 4:00,0.445383333,0,0.44445,1,1,4,0,0,0,0,0,0,6,151.39,2.027
1/1/2016 5:00,0.511216667,0,0.51015,1,1,5,0,0,0,0,0,0,6,163.89,2.059
1/1/2016 6:00,0.495966667,0,0.495,1,1,6,0,0,0,0,0,0,6,172.6,2.103
1/1/2016 7:00,0.459316667,0,0.458616667,1,1,7,0,0,0,0,0,0,6,165.58,2.154
1/1/2016 8:00,0.435366667,0.28635,0.43535,1,1,8,0,0,0,0,0,0,5,153.23,2.212
1/1/2016 9:00,0.253983333,0.724583333,0.253983333,1,1,9,0,0,0,0,0,0,5,140.34,2.258
1/1/2016 10:00,0.219383333,0.883533333,0.219383333,1,1,10,0,0,0,0,0,0,5,127.44,2.285
1/1/2016 11:00,0.35805,1.887966667,0.35805,1,1,11,0,0,0,0,0,0,4,114.71,2.302
1/1/2016 12:00,0.306983333,1.242783333,0.306983333,1,1,12,0,0,0,0,0,0,4,102.3,2.32
1/1/2016 13:00,0.300866667,0.990283333,0.300866667,1,1,13,0,0,0,0,0,0,4,90.4,2.339
1/1/2016 14:00,0.228116667,0.827766667,0.228116667,1,1,14,53,0,53,57,453,141,4,79.28,2.343
1/1/2016 15:00,0.2276,0.278766667,0.2276,1,1,15,120,0,120,83,670,319,4,69.34,2.328
1/1/2016 16:00,0.4655,0.101683333,0.4655,1,1,16,209,70,243,95,777,470,5,61.17,2.305
1/1/2016 17:00,0.596766667,0.013033333,0.5959,1,1,17,237,360,441,99,833,570,6,55.57,2.285
1/1/2016 18:00,0.503216667,0,0.502433333,1,1,18,228,21,241,101,851,609,6,53.38,2.275
1/1/2016 19:00,0.484283333,0,0.483433333,1,1,19,171,0,171,98,842,581,6,54.99,2.271
1/1/2016 20:00,0.568583333,0,0.567166667,1,1,20,199,31,214,92,800,491,6,60.12,2.266
1/1/2016 21:00,0.482383333,0,0.4815,1,1,21,20,0,20,80,713,348,6,67.95,2.261
1/1/2016 22:00,0.4264,0,0.426066667,1,1,22,9,0,9,58,532,172,5,77.66,2.259
1/1/2016 23:00,0.41735,0,0.417,1,1,23,0,0,0,12,87,14,4,88.63,2.265
1/2/2016 0:00,0.501666667,0,0.5008,1,2,0,0,0,0,0,0,0,4,100.43,2.273
1/2/2016 1:00,0.448416667,0,0.447766667,1,2,1,0,0,0,0,0,0,4,112.77,2.282
1/2/2016 2:00,0.415616667,0,0.415266667,1,2,2,0,0,0,0,0,0,4,125.46,2.294
1/2/2016 3:00,0.41385,0,0.413516667,1,2,3,0,0,0,0,0,0,4,138.35,2.306
1/2/2016 4:00,0.469883333,0,0.46895,1,2,4,0,0,0,0,0,0,4,151.26,2.311
1/2/2016 5:00,0.4477,0,0.4469,1,2,5,0,0,0,0,0,0,4,163.76,2.296
1/2/2016 6:00,0.40665,0,0.4063,1,2,6,0,0,0,0,0,0,4,172.51,2.265
1/2/2016 7:00,0.411816667,3.33E-05,0.411516667,1,2,7,0,0,0,0,0,0,4,165.63,2.238
1/2/2016 8:00,0.438,0.0939,0.438,1,2,8,0,0,0,0,0,0,4,153.3,2.23
1/2/2016 9:00,0.489916667,0.229583333,0.489916667,1,2,9,0,0,0,0,0,0,4,140.41,2.24
1/2/2016 10:00,0.318233333,0.507816667,0.318233333,1,2,10,0,0,0,0,0,0,4,127.51,2.265
1/2/2016 11:00,0.335533333,0.60255,0.335533333,1,2,11,0,0,0,0,0,0,4,114.77,2.304
1/2/2016 12:00,0.39435,0.483166667,0.39435,1,2,12,0,0,0,0,0,0,4,102.36,2.35
1/2/2016 13:00,0.32945,0.48375,0.32945,1,2,13,0,0,0,0,0,0,4,90.44,2.39
1/2/2016 14:00,0.375766667,0.790733333,0.375766667,1,2,14,11,0,11,52,488,143,4,79.31,2.418
1/2/2016 15:00,0.390883333,0.445866667,0.390883333,1,2,15,25,0,25,75,702,322,5,69.35,2.436
1/2/2016 16:00,0.328433333,0.172883333,0.328433333,1,2,16,208,65,239,87,796,472,5,61.15,2.449
1/2/2016 17:00,0.364033333,0.004033333,0.36255,1,2,17,250,65,287,95,839,570,6,55.52,2.453
1/2/2016 18:00,0.387933333,0,0.386183333,1,2,18,59,0,59,96,859,610,6,53.29,2.441
1/2/2016 19:00,0.4857,0,0.483116667,1,2,19,122,0,122,92,855,584,7,54.88,2.413
1/2/2016 20:00,0.415233333,0,0.413266667,1,2,20,158,0,158,84,823,496,8,59.99,2.396
1/2/2016 21:00,0.404833333,0,0.403083333,1,2,21,105,0,105,74,738,353,7,67.81,2.397
1/2/2016 22:00,0.524933333,0,0.523966667,1,2,22,52,0,52,53,570,176,6,77.52,2.393
1/2/2016 23:00,0.435733333,0,0.4352,1,2,23,4,0,4,12,127,16,5,88.49,2.375
1/3/2016 0:00,0.434766667,0,0.4343,1,3,0,0,0,0,0,0,0,5,100.29,2.356
1/3/2016 1:00,0.431816667,0,0.431383333,1,3,1,0,0,0,0,0,0,5,112.64,2.346
1/3/2016 2:00,0.480366667,0,0.479383333,1,3,2,0,0,0,0,0,0,4,125.33,2.336
1/3/2016 3:00,0.470483333,0,0.469483333,1,3,3,0,0,0,0,0,0,4,138.22,2.322
1/3/2016 4:00,0.424816667,0,0.4243,1,3,4,0,0,0,0,0,0,4,151.12,2.301
1/3/2016 5:00,0.4807,0,0.479766667,1,3,5,0,0,0,0,0,0,4,163.62,2.277
1/3/2016 6:00,0.464766667,0,0.464,1,3,6,0,0,0,0,0,0,4,172.4,2.254
1/3/2016 7:00,0.428733333,0.020166667,0.428466667,1,3,7,0,0,0,0,0,0,4,165.67,2.225
1/3/2016 8:00,0.530216667,0.639016667,0.530216667,1,3,8,0,0,0,0,0,0,4,153.37,2.177
1/3/2016 9:00,0.763066667,1.835966667,0.763066667,1,3,9,0,0,0,0,0,0,4,140.48,2.092
1/3/2016 10:00,0.41555,2.66255,0.41555,1,3,10,0,0,0,0,0,0,4,127.57,1.967
1/3/2016 11:00,0.282983333,2.4166,0.282983333,1,3,11,0,0,0,0,0,0,4,114.83,1.82
1/3/2016 12:00,0.2495,3.503533333,0.2495,1,3,12,0,0,0,0,0,0,4,102.41,1.679
1/3/2016 13:00,0.377166667,2.534233333,0.377166667,1,3,13,0,0,0,0,0,0,5,90.48,1.564
1/3/2016 14:00,0.322683333,3.15765,0.322683333,1,3,14,49,545,150,49,545,150,7,79.34,1.481
1/3/2016 15:00,0.27795,2.285033333,0.27795,1,3,15,148,109,187,71,749,335,9,69.35,1.428
1/3/2016 16:00,0.237933333,0.7215,0.237933333,1,3,16,215,97,262,83,844,491,12,61.12,1.383
1/3/2016 17:00,0.35,0.04705,0.349583333,1,3,17,251,295,419,88,893,595,13,55.46,1.327
1/3/2016 18:00,0.54245,0,0.5412,1,3,18,262,334,463,91,910,636,14,53.2,1.257
1/3/2016 19:00,0.563,0,0.561966667,1,3,19,88,907,611,88,907,611,15,54.77,1.177
1/3/2016 20:00,0.634366667,0,0.632516667,1,3,20,81,877,522,81,877,522,15,59.85,1.092
1/3/2016 21:00,0.5697,0,0.568833333,1,3,21,70,807,377,70,807,377,14,67.67,0.996
1/3/2016 22:00,0.541366667,0,0.540216667,1,3,22,50,656,194,50,656,194,11,77.38,0.89
1/3/2016 23:00,0.607233333,0,0.605583333,1,3,23,13,213,19,13,213,19,8,88.35,0.787
1/4/2016 0:00,0.532866667,0,0.531716667,1,4,0,0,0,0,0,0,0,7,100.15,0.699
1/4/2016 1:00,0.5519,0,0.550466667,1,4,1,0,0,0,0,0,0,6,112.5,0.627
1/4/2016 2:00,0.56945,0,0.567716667,1,4,2,0,0,0,0,0,0,5,125.19,0.575
1/4/2016 3:00,0.517083333,0,0.5158,1,4,3,0,0,0,0,0,0,4,138.08,0.542
1/4/2016 4:00,0.530133333,0,0.528966667,1,4,4,0,0,0,0,0,0,3,150.99,0.523
